<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,399001,深证成指,7820.453,7821.075,7597.441,7612.189,138383872
20140122,000001,平安银行,11.79,11.86,11.35,11.36,61908449
20140122,000002,万科A,7.62,7.68,7.22,7.24,114057648
20140122,000004,国农科技,11.92,11.97,11.65,11.68,1872058
20140122,000005,世纪星源,2.37,2.38,2.3,2.31,4823421
20140122,000006,深振业A,4.55,4.59,4.29,4.31,20135255
20140122,000007,零七股份,13.79,13.89,13.58,13.66,1983450
20140122,000008,宝利来,8.77,8.87,8.6,8.68,719805
20140122,000009,中国宝安,8.92,8.92,8.67,8.67,10470351
20140122,000010,深华新,7.05,7.15,6.78,6.8,5958053
20140122,000011,深物业A,7.24,7.28,6.91,6.91,4010787
20140122,000012,南玻A,7.93,7.95,7.76,7.79,24395511
20140122,000014,沙河股份,9.36,9.39,9.04,9.09,2839795
20140122,000016,深康佳A,3.81,3.84,3.72,3.75,11486117
20140122,000017,*ST中华A,5.84,6.05,5.75,6,7915943
20140122,000018,*ST中冠A,9.07,9.07,8.9,9.01,496304
20140122,000019,深深宝A,7.32,7.33,7.15,7.17,1057957
20140122,000020,深华发A,6.39,6.4,6.2,6.25,1289816
20140122,000021,长城开发,6.16,6.28,6.09,6.1,15616060
20140122,000022,深赤湾A,15.05,15.13,14.7,14.7,2362943
20140122,000023,深天地A,8.02,8.06,7.91,7.91,1242679
20140122,000024,招商地产,18.92,19.03,17.36,17.44,26523869
20140122,000025,特力A,8.56,8.58,8.21,8.26,1583879
20140122,000026,飞亚达A,6.89,6.9,6.69,6.71,1918983
20140122,000027,深圳能源,5.27,5.28,5.17,5.2,6241937
20140122,000028,国药一致,51.26,51.98,49.7,50.13,1465461
20140122,000029,深深房A,3.43,3.46,3.33,3.33,4039364
20140122,000030,富奥股份,5.79,5.81,5.64,5.73,2463746
20140122,000031,中粮地产,3.45,3.46,3.33,3.33,4557538
20140122,000032,深桑达A,8.27,8.27,7.69,8.17,2173595
20140122,000033,新都酒店,3.87,3.96,3.79,3.81,3601877
20140122,000034,深信泰丰,4.05,4.12,3.92,3.97,3634040
20140122,000035,*ST科健,10.4,10.41,10.1,10.19,1950349
20140122,000036,华联控股,2.76,2.77,2.67,2.68,4566278
20140122,000038,深大通,12.57,12.64,12,12.2,925712
20140122,000039,中集集团,16.9,17.2,16.76,16.95,23971265
20140122,000040,宝安地产,4.27,4.29,4.16,4.2,3377714
20140122,000042,深长城,24.43,24.77,24,24.01,351590
20140122,000043,中航地产,5.71,5.72,5.43,5.44,5856015
20140122,000045,深纺织A,7.77,7.81,7.6,7.66,1075486
20140122,000046,泛海建设,4.41,4.48,4.3,4.33,6175153
20140122,000048,康达尔,13.02,13.19,12.48,12.48,2495923
20140122,000049,德赛电池,69.11,70.09,66.55,67.99,1463454
20140122,000050,深天马A,12.7,12.83,12.44,12.56,13500288
20140122,000055,方大集团,5.77,5.8,5.66,5.66,2615542
20140122,000056,*ST国商,19.5,20.85,19.49,20.79,4009828
20140122,000058,深赛格,5.11,5.13,4.95,4.97,12879268
20140122,000059,辽通化工,4.41,4.44,4.3,4.32,5992743
20140122,000060,中金岭南,5.68,5.69,5.53,5.53,7065412
20140122,000061,农产品,8.14,8.17,7.77,7.89,18055195
20140122,000062,深圳华强,12.9,13.39,12.71,12.75,32076115
20140122,000063,中兴通讯,13.21,13.24,12.85,12.85,38205118
20140122,000065,北方国际,13.75,13.85,13.4,13.4,2153797
20140122,000066,长城电脑,3.96,4.15,3.82,3.85,16121112
20140122,000068,华控赛格,5.54,5.6,5.48,5.55,3018012
20140122,000069,华侨城A,5.03,5.03,4.7,4.73,51466886
20140122,000070,特发信息,10.7,10.7,10.1,10.15,4349095
20140122,000078,海王生物,7.48,7.51,7.38,7.41,11108513
