<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,999999,上证指数,2051.749,2052.339,2008.93,2009.969,98892856
20140122,600000,浦发银行,9.34,9.38,9.17,9.18,91387277
20140122,600004,白云机场,6.75,6.77,6.62,6.62,2651275
20140122,600005,武钢股份,2.1,2.11,2.07,2.08,12511766
20140122,600006,东风汽车,2.87,2.88,2.8,2.82,6095173
20140122,600007,中国国贸,10.17,10.28,9.58,9.59,2037862
20140122,600008,首创股份,6.4,6.4,6.27,6.3,7193789
20140122,600009,上海机场,13.83,13.85,13.5,13.55,5334211
20140122,600010,包钢股份,4.46,4.46,4.32,4.33,58102913
20140122,600011,华能国际,4.86,4.87,4.75,4.78,13404230
20140122,600012,皖通高速,3.8,3.81,3.67,3.74,2179618
20140122,600015,华夏银行,8.15,8.17,7.94,7.97,25776460
20140122,600016,民生银行,7.15,7.17,6.97,7,91056533
20140122,600017,日照港,2.47,2.47,2.42,2.42,5409795
20140122,600018,上港集团,4.98,5.05,4.82,4.86,53994962
20140122,600019,宝钢股份,3.82,3.83,3.73,3.74,20706716
20140122,600020,中原高速,2.12,2.12,2.07,2.07,4640350
20140122,600021,上海电力,4.59,4.59,4.38,4.43,17478549
20140122,600022,山东钢铁,1.59,1.59,1.54,1.55,9311119
20140122,600023,浙能电力,6.4,6.47,6.18,6.2,47070950
20140122,600026,中海发展,4.27,4.28,4.15,4.15,3228761
20140122,600027,华电国际,2.95,2.95,2.86,2.88,22863401
20140122,600028,中国石化,4.65,4.66,4.59,4.6,37143152
20140122,600029,南方航空,2.66,2.66,2.61,2.62,16795510
20140122,600030,中信证券,12.08,12.12,11.73,11.8,96449941
20140122,600031,三一重工,6.02,6.04,5.75,5.8,23516102
20140122,600033,福建高速,2.08,2.09,2.04,2.04,3123826
20140122,600035,楚天高速,3,3.01,2.92,2.93,3683919
20140122,600036,招商银行,10.7,10.78,10.48,10.56,50123656
20140122,600037,歌华有线,8.66,8.66,8.45,8.65,45332061
20140122,600038,哈飞股份,26.92,27.28,25.8,26,3145551
20140122,600039,四川路桥,5.55,5.56,5.37,5.39,4834444
20140122,600048,保利地产,8.09,8.18,7.57,7.6,112607381
20140122,600050,中国联通,3.05,3.06,2.99,3.01,74197345
20140122,600051,宁波联合,7.08,7.14,7.01,7.11,2967439
20140122,600052,浙江广厦,3.3,3.33,3.17,3.25,2353553
20140122,600054,黄山旅游,10.53,10.56,10.27,10.3,2719667
20140122,600055,华润万东,11.89,12,11.57,11.62,2894072
20140122,600056,中国医药,20.02,20.09,19.62,19.77,2374152
20140122,600057,象屿股份,5.87,5.9,5.77,5.82,7768823
20140122,600058,五矿发展,11.93,12.02,11.62,11.7,7521564
20140122,600059,古越龙山,9.71,9.93,9.45,9.55,11374323
20140122,600060,海信电器,11.18,11.21,10.9,10.94,15645587
20140122,600061,中纺投资,5.52,5.54,5.3,5.38,2633710
20140122,600062,华润双鹤,20.78,20.83,20.27,20.34,4245396
20140122,600064,南京高科,10.44,10.46,10.17,10.19,2606053
20140122,600066,宇通客车,18.09,18.1,17.8,17.81,3826901
20140122,600067,冠城大通,6.31,6.31,5.78,5.79,21062339
